id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12
24583253-24583253_analysis_4	0	1	0	2	0	0	0	0	0	0	0	0
24726338-24726338_analysis_0	0	0	0	0	3	0	0	0	0	0	0	0
24726338-24726338_analysis_1	0	4	3	2	0	0	0	0	0	0	0	0
24726338-24726338_analysis_2	4	4	0	0	3	1	0	0	0	0	0	0
24726338-24726338_analysis_3	0	0	0	1	2	0	0	0	0	0	0	0
24726338-24726338_analysis_4	0	1	0	0	0	2	0	0	0	0	0	0
24726338-24726338_analysis_5	0	0	0	0	0	0	1	0	0	0	0	0
24772075-24772075_analysis_0	0	0	0	0	1	0	0	0	0	0	0	0
24772075-24772075_analysis_1	0	0	1	0	0	1	0	0	0	0	0	0
24772075-24772075_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_3	0	1	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_4	1	0	0	0	2	0	0	0	0	0	0	0
24772075-24772075_analysis_5	1	2	0	1	1	0	0	0	0	0	0	0
24772075-24772075_analysis_6	1	0	0	0	0	0	0	0	0	0	0	0
24814646-24814646_analysis_0	6	13	0	25	2	6	0	3	0	0	0	0
24814646-24814646_analysis_1	5	1	1	2	0	0	0	0	0	0	0	0
24814646-24814646_analysis_2	0	0	1	2	0	0	0	0	0	0	0	0
24814646-24814646_analysis_3	1	1	0	5	0	2	0	1	0	0	0	0
24814646-24814646_analysis_4	0	0	0	1	1	0	0	0	0	0	0	0
24824165-24824165_analysis_0	2	2	0	0	1	0	0	0	0	0	0	0
24824165-24824165_analysis_1	1	1	0	0	0	0	0	0	0	0	0	0
24825504-24825504_analysis_0	0	2	1	1	2	0	0	0	0	0	0	0
24825504-24825504_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0
24825504-24825504_analysis_2	0	0	0	0	1	0	0	0	0	0	0	0
24825504-24825504_analysis_3	0	0	1	1	0	0	0	0	0	0	0	0
24834034-24834034_analysis_0	0	0	0	0	1	0	0	0	0	0	0	0
24834034-24834034_analysis_1	1	0	0	0	1	0	0	0	0	0	0	0
24834034-24834034_analysis_2	1	1	0	0	0	1	0	0	0	0	0	0
24834034-24834034_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0
24834034-24834034_analysis_4	1	0	0	0	0	0	0	0	0	0	0	0
24842782-24842782_analysis_0	1	0	0	1	0	0	0	0	0	0	0	0
24842782-24842782_analysis_1	1	2	0	0	0	0	0	0	0	0	0	0
24842782-24842782_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0
24936688-24936688_analysis_0	0	0	0	0	1	0	0	0	0	0	0	0
24936688-24936688_analysis_1	0	0	0	1	0	0	0	0	0	0	0	0
24936688-24936688_analysis_2	0	2	0	2	0	0	0	0	0	0	0	0
25118071-25118071_analysis_0	0	2	0	4	0	0	0	0	0	0	0	0
25281889-25281889_analysis_0	0	0	0	0	1	0	0	0	0	0	0	0
25281889-25281889_analysis_1	0	1	0	0	0	0	0	0	0	0	0	0
25281889-25281889_analysis_10	1	0	0	0	0	0	0	0	0	0	0	0
25281889-25281889_analysis_11	0	0	0	0	0	0	0	0	0	0	0	0
25281889-25281889_analysis_2	2	1	0	0	0	0	0	0	0	0	0	0
25281889-25281889_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0
25281889-25281889_analysis_4	1	1	0	1	0	0	0	0	0	0	0	0
25281889-25281889_analysis_5	1	0	0	0	0	0	0	0	0	0	0	0
25281889-25281889_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0
25281889-25281889_analysis_7	1	0	0	0	0	0	0	0	0	0	0	0
25281889-25281889_analysis_8	0	0	0	0	0	0	0	0	0	0	0	0
25281889-25281889_analysis_9	0	0	0	0	0	0	0	0	0	0	0	0
25315788-25315788_analysis_0	0	2	0	0	0	0	0	0	0	0	0	0
25315788-25315788_analysis_1	0	0	0	1	0	0	0	0	0	0	0	0
25315788-25315788_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0
25534111-25534111_analysis_0	2	1	0	1	1	0	0	0	0	0	0	0
25534111-25534111_analysis_1	2	0	0	2	0	2	0	0	0	0	0	0
25534111-25534111_analysis_2	2	0	0	3	0	0	0	0	0	0	0	0
25534111-25534111_analysis_3	0	0	0	0	1	2	0	0	0	0	0	0
25640962-25640962_analysis_0	1	2	0	1	1	0	0	0	0	0	0	0
25640962-25640962_analysis_1	0	1	0	1	2	0	0	0	0	0	0	0
25640962-25640962_analysis_2	0	3	0	3	0	0	0	0	0	0	0	0
25640962-25640962_analysis_3	0	0	0	0	1	0	0	0	0	0	0	0
25640962-25640962_analysis_4	2	3	0	0	2	0	0	0	0	0	0	0
25697049-25697049_analysis_0	0	5	0	5	0	0	0	0	0	0	0	0
25697049-25697049_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0
25697049-25697049_analysis_2	0	1	0	1	0	0	0	0	0	0	0	0
25697049-25697049_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0
25697049-25697049_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0
25697049-25697049_analysis_5	0	2	0	1	0	0	0	0	0	0	0	0
25697049-25697049_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0
25716010-25716010_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0
25716010-25716010_analysis_1	0	1	0	0	0	0	0	0	0	0	0	0
25716010-25716010_analysis_10	0	0	0	0	0	0	0	0	0	0	0	0
25716010-25716010_analysis_2	0	0	1	0	0	0	0	0	0	0	0	0
25716010-25716010_analysis_3	0	0	0	2	0	0	0	0	0	0	0	0
